Date,Price,Open,High,Low,Vol.,Change %
08-05-2014,624.2,625.1,631.5,623.2,1.81M,-1.04%
09-05-2014,624.1,621.6,631.15,618.6,1.83M,-0.02%
12-05-2014,613.35,624,624.1,610.1,2.23M,-1.72%
13-05-2014,609.1,618.3,619,603.45,2.15M,-0.69%
14-05-2014,612.15,607.35,618.8,607.35,1.46M,0.50%
15-05-2014,621.4,620,629.8,613.25,2.85M,1.51%
16-05-2014,613.5,622.2,634.55,611,2.62M,-1.27%
19-05-2014,584.25,613,622.55,574.75,3.94M,-4.77%
20-05-2014,587.4,582,599.9,574.35,3.37M,0.54%
21-05-2014,576.9,584.1,586.4,575,3.15M,-1.79%
22-05-2014,580.1,577.1,587.8,572,2.15M,0.55%
23-05-2014,584.3,580,586.9,580,2.12M,0.72%
26-05-2014,591.1,604,607,585.25,3.71M,1.16%
27-05-2014,592.5,591.35,597.9,584.2,1.67M,0.24%
28-05-2014,584.1,598,598.3,582,2.28M,-1.42%
29-05-2014,586.6,585,591.1,581.85,3.31M,0.43%
30-05-2014,610.65,592,616.05,590,9.96M,4.10%
02-06-2014,599.2,614,614,596.4,1.47M,-1.88%
03-06-2014,603.15,598,606.05,597.5,1.88M,0.66%
04-06-2014,596.05,602,607.8,593.3,1.59M,-1.18%
05-06-2014,597.85,594,602.95,593,2.20M,0.30%
06-06-2014,599.65,610.05,611,595.05,3.26M,0.30%
09-06-2014,600.4,600,603.8,593.45,1.40M,0.13%
10-06-2014,609,603,615,602.1,2.68M,1.43%
11-06-2014,613.9,618,620,605.8,3.69M,0.80%
12-06-2014,631.2,617,633.4,616.05,2.99M,2.82%
13-06-2014,629.7,630,638.5,625,3.85M,-0.24%
16-06-2014,645.35,625,648.3,625,2.46M,2.49%
17-06-2014,649.8,646.45,654.35,636.1,2.84M,0.69%
18-06-2014,633.35,646.05,650.7,630.95,1.60M,-2.53%
19-06-2014,642.55,633.5,645,628.2,1.39M,1.45%
20-06-2014,631.3,642.55,642.65,625.05,1.82M,-1.75%
23-06-2014,633.95,632.95,637.95,628.65,1.27M,0.42%
24-06-2014,627.8,631.8,637,626.05,1.37M,-0.97%
25-06-2014,632.8,627.9,636.4,625,1.12M,0.80%
26-06-2014,635.15,630.1,641.25,626.15,1.83M,0.37%
27-06-2014,660.85,651,674.95,650.6,4.53M,4.05%
30-06-2014,687.95,668,689.9,664.25,2.96M,4.10%
01-07-2014,679.25,686.55,688,677.9,1.23M,-1.26%
02-07-2014,693.4,681,696.45,681,1.90M,2.08%
03-07-2014,706.85,695,720,693.4,4.11M,1.94%
04-07-2014,709.8,707.45,713.8,704.7,1.83M,0.42%
07-07-2014,723.5,716.1,740,707.1,2.56M,1.93%
08-07-2014,726.05,732,744.9,719.45,4.50M,0.35%
09-07-2014,724.4,730,735,712.85,2.61M,-0.23%
10-07-2014,726.25,721.25,740.5,713.1,1.49M,0.26%
11-07-2014,744.05,721,753.6,719.05,3.13M,2.45%
14-07-2014,738,746.5,748,724,2.31M,-0.81%
15-07-2014,739.7,737.25,747.6,733,1.21M,0.23%
16-07-2014,744.9,746,753,737.5,1.97M,0.70%
17-07-2014,743,741.35,749.1,740,842.45K,-0.26%
18-07-2014,742.25,744.9,744.9,732.3,1.45M,-0.10%
21-07-2014,743.7,750.8,751.45,741.1,1.20M,0.20%
22-07-2014,750.6,749,757.8,745.55,779.53K,0.93%
