Date,Price,Open,High,Low,Vol.,Change %
16-09-2015,887.2,879.2,891.8,875.65,5.67M,2.38%
18-09-2015,905.2,897,920.8,888.45,5.21M,2.03%
21-09-2015,899.95,908.3,912.95,895.1,3.14M,-0.58%
22-09-2015,900.6,909,909,891.55,3.45M,0.07%
23-09-2015,896.75,895,905.2,888.3,1.90M,-0.43%
24-09-2015,891.9,900.9,900.9,888.25,4.62M,-0.54%
28-09-2015,861,895,895,857.2,3.86M,-3.46%
29-09-2015,848.25,861,861,840.25,2.14M,-1.48%
30-09-2015,868.4,860,872,858.2,2.86M,2.38%
01-10-2015,891,875,895,873.25,2.28M,2.60%
05-10-2015,897.95,899,902.2,880.2,3.14M,0.78%
06-10-2015,909.95,905.95,915.9,902.25,2.37M,1.34%
07-10-2015,926.2,915,928.7,903,2.90M,1.79%
08-10-2015,915.65,930,933.95,910.6,2.02M,-1.14%
09-10-2015,906.2,922.5,922.8,901.2,1.96M,-1.03%
12-10-2015,892,910,914.95,883.2,2.06M,-1.57%
13-10-2015,881.6,894,896.75,874,1.53M,-1.17%
14-10-2015,883.7,884.1,894,881.6,1.47M,0.24%
15-10-2015,888,889.95,892.5,880.05,2.18M,0.49%
16-10-2015,889.45,888,892,881,1.21M,0.16%
19-10-2015,905.95,895,911,886.55,2.00M,1.86%
20-10-2015,902.55,911,913.1,899.7,1.88M,-0.38%
21-10-2015,889,901.9,902.25,886.5,1.27M,-1.50%
23-10-2015,884.6,901.95,903.85,883.05,1.92M,-0.49%
26-10-2015,888.8,890,894.1,886.1,1.77M,0.47%
27-10-2015,908.65,888,912.45,885,2.90M,2.23%
28-10-2015,901.55,903,907.5,895.05,1.94M,-0.78%
29-10-2015,878.9,902,902,875.55,3.27M,-2.51%
30-10-2015,889.55,880.2,893,876.7,2.39M,1.21%
02-11-2015,865.35,875.05,878.15,857.55,1.98M,-2.72%
03-11-2015,868.55,870,877.8,862.8,1.55M,0.37%
04-11-2015,852.5,867,874.5,850,2.28M,-1.85%
05-11-2015,815.95,848,849.9,809,4.04M,-4.29%
06-11-2015,803.4,816.05,822.35,800.55,3.76M,-1.54%
09-11-2015,756.95,761,771.85,744.95,7.90M,-5.78%
10-11-2015,731.95,753.1,764.2,724.05,7.02M,-3.30%
11-11-2015,746.6,738.6,748.1,737,838.89K,2.00%
13-11-2015,740.6,745.1,752.4,736,4.67M,-0.80%
16-11-2015,738.65,743,747.5,732.55,3.36M,-0.26%
17-11-2015,753.35,746,755.55,743.95,3.85M,1.99%
18-11-2015,753.75,755,761.3,748.5,2.52M,0.05%
19-11-2015,742.5,758,761,738.4,4.06M,-1.49%
20-11-2015,725.85,739.8,741,723.9,5.35M,-2.24%
23-11-2015,717.1,726,728.9,713.5,5.78M,-1.21%
24-11-2015,706.2,717,719.55,704,9.85M,-1.52%
26-11-2015,735.9,716.85,740,716.5,8.44M,4.21%
27-11-2015,739.85,742,742.35,731,4.48M,0.54%
30-11-2015,729.65,732.5,737.5,727.35,8.74M,-1.38%
01-12-2015,729.25,732,733.8,727,3.18M,-0.05%
02-12-2015,731.8,739,739,725,5.14M,0.35%
03-12-2015,726.9,729.85,732.4,724,3.08M,-0.67%
04-12-2015,755.4,722.5,773.9,721.5,24.61M,3.92%
07-12-2015,777.35,765.3,781.5,762.05,7.14M,2.91%
08-12-2015,770.9,776,779.85,767.5,3.66M,-0.83%
09-12-2015,759.15,772.5,775.4,750.15,4.94M,-1.52%
10-12-2015,756.8,769.85,769.85,733.3,4.50M,-0.31%
11-12-2015,757.8,759.65,766,748.5,2.85M,0.13%
14-12-2015,768.6,758.85,773,753.65,2.63M,1.43%
15-12-2015,773.75,775,781.45,769.2,3.55M,0.67%
16-12-2015,784.1,780,785.5,775.8,2.86M,1.34%
17-12-2015,802.25,791.05,805,788,3.49M,2.31%
18-12-2015,790.15,799.6,809,787.2,4.13M,-1.51%
21-12-2015,754.2,738,756.8,731,12.31M,-4.55%
22-12-2015,763.7,756.2,768.9,756.2,3.73M,1.26%
23-12-2015,790.4,771,793.5,770,6.65M,3.50%
24-12-2015,790.85,797,798.4,786.4,2.05M,0.06%
28-12-2015,811.6,791.65,815,791.65,4.29M,2.62%
29-12-2015,811.35,815,819.9,805.5,2.70M,-0.03%
30-12-2015,810.15,814,826,806.45,1.92M,-0.15%
31-12-2015,820.15,812,825,804.1,2.59M,1.23%
01-01-2016,815.55,810.05,817.9,806.2,986.73K,-0.56%
04-01-2016,799.1,813.9,821.3,795.1,2.39M,-2.02%
05-01-2016,800.5,807,807,792.05,1.63M,0.18%
06-01-2016,791.95,805,805.8,790.75,2.17M,-1.07%
07-01-2016,783.8,788,799,778.65,2.08M,-1.03%
08-01-2016,794.15,795,805.8,786,2.32M,1.32%
11-01-2016,782.25,789.5,804.5,779.1,3.42M,-1.50%
12-01-2016,788.15,784,794,784,1.79M,0.75%
13-01-2016,796.6,795,804.65,781.5,3.45M,1.07%
14-01-2016,791.85,789.8,796.4,785.7,3.23M,-0.60%
15-01-2016,787.1,797.75,799,780.2,2.37M,-0.60%
18-01-2016,784.95,787,797.5,775,4.20M,-0.27%
19-01-2016,793.9,786,796.8,781.25,2.17M,1.14%
20-01-2016,792.6,785.5,805,775.6,4.22M,-0.16%
21-01-2016,773.15,800,803.4,764,3.26M,-2.45%
22-01-2016,789.2,779,794,773.3,1.97M,2.08%
25-01-2016,807.25,795,814.9,794.45,2.91M,2.29%
27-01-2016,821.15,817,823.25,809.3,3.61M,1.72%
28-01-2016,834.15,817,836.8,817,4.37M,1.58%
29-01-2016,872.95,843,878,839.1,4.71M,4.65%
01-02-2016,872.3,880.8,888.3,861.9,3.25M,-0.07%
02-02-2016,835.15,879.85,883.35,831.1,2.68M,-4.26%
03-02-2016,834.9,836.8,855,829.3,2.63M,-0.03%
04-02-2016,835.6,840,847.8,818.15,2.29M,0.08%
05-02-2016,857.55,839,860,836.55,2.25M,2.63%
08-02-2016,835.65,855,864.8,830,1.20M,-2.55%
09-02-2016,854.05,830,860.9,828.1,2.34M,2.20%
10-02-2016,855.75,851.05,865.75,838.2,3.53M,0.20%
11-02-2016,830.4,851,858.9,827,2.07M,-2.96%
12-02-2016,847.35,845,884.7,802.45,5.26M,2.04%
15-02-2016,850.2,855,867,845.1,3.59M,0.34%
16-02-2016,827.8,850.6,857.15,820.2,1.96M,-2.63%
17-02-2016,855.8,831.95,859.35,828,1.98M,3.38%
18-02-2016,870.45,869.7,876.5,858.1,2.34M,1.71%
19-02-2016,864.2,870.4,870.4,857,1.56M,-0.72%
22-02-2016,882.45,871.95,885.8,868,2.30M,2.11%
23-02-2016,871.1,884.7,898.45,866.25,2.47M,-1.29%
24-02-2016,854.55,866.35,870,849.6,1.72M,-1.90%
25-02-2016,875.35,857.45,880,855.55,3.90M,2.43%
26-02-2016,871.9,885,890,869.1,2.41M,-0.39%
29-02-2016,853.9,880.8,880.8,833.7,3.55M,-2.06%
01-03-2016,868.4,861.7,873,851.3,2.35M,1.70%
02-03-2016,851.85,876,877.1,850,3.18M,-1.91%
03-03-2016,870.9,859.9,873.85,852.6,2.45M,2.24%
04-03-2016,856.8,872,874.5,852.6,1.53M,-1.62%
08-03-2016,858.6,859.8,871,851.25,2.30M,0.21%
09-03-2016,860.9,860,863.7,836.9,3.14M,0.27%
10-03-2016,865.05,864.45,868,846.5,2.04M,0.48%
11-03-2016,868.2,854.9,870,843.6,2.33M,0.36%
14-03-2016,862.2,869,876.55,858.6,2.14M,-0.69%
15-03-2016,843.15,861.5,861.5,840.6,2.36M,-2.21%
16-03-2016,835.75,845.5,847.45,821.65,2.52M,-0.88%
17-03-2016,827.25,842,843.9,821.8,2.61M,-1.02%
18-03-2016,816,825.05,825.9,798.4,5.27M,-1.36%
21-03-2016,836.45,820.55,838.05,816.8,3.18M,2.51%
22-03-2016,844.6,835.05,847,831.9,2.11M,0.97%
23-03-2016,846.2,844.7,852,834.6,2.33M,0.19%
28-03-2016,809.25,846,846,803,4.60M,-4.37%
29-03-2016,794.35,809.25,811.85,770,7.47M,-1.84%
30-03-2016,811.7,811.9,815.55,801.05,3.02M,2.18%
31-03-2016,820,811.9,829.65,811.9,5.23M,1.02%
01-04-2016,815.1,821,824,809.4,1.65M,-0.60%
04-04-2016,815.05,817.2,821,811.1,1.24M,-0.01%
05-04-2016,800.8,816,816.45,799.5,2.57M,-1.75%
06-04-2016,809.55,804.5,811.1,798.05,1.81M,1.09%
07-04-2016,811.7,810,822.9,805.1,2.22M,0.27%
08-04-2016,811.75,807.05,817.45,807.05,1.09M,0.01%
11-04-2016,817.3,823,826,809.2,2.76M,0.68%
12-04-2016,823.6,819.7,827.05,816.35,1.94M,0.77%
13-04-2016,833.05,826.1,835.9,823,2.31M,1.15%
18-04-2016,837.8,833.15,841.15,827.3,2.26M,0.57%
20-04-2016,828.55,836.1,836.1,825.2,2.13M,-1.10%
21-04-2016,832.9,831.65,837.9,826.8,1.38M,0.53%
22-04-2016,820.2,827,828.45,818.15,2.53M,-1.52%
25-04-2016,808.85,820,821.15,802,3.64M,-1.38%
26-04-2016,814.4,805,817.6,797,4.08M,0.69%
27-04-2016,813.95,814,816.1,809.2,1.36M,-0.06%
28-04-2016,801.95,819,819,800,4.83M,-1.47%
29-04-2016,811.3,805,813.3,802,2.34M,1.17%
02-05-2016,811.8,813.75,816.15,804.5,1.08M,0.06%
03-05-2016,798.25,808.2,813.6,780,5.81M,-1.67%
04-05-2016,804.2,799,806.4,787.05,2.52M,0.75%
05-05-2016,810.45,825.55,828,806.5,3.07M,0.78%
06-05-2016,804.4,809.95,815,802.25,1.46M,-0.75%
09-05-2016,805.3,805,811.8,796,2.56M,0.11%
10-05-2016,802.15,806,811,800.3,2.16M,-0.39%
11-05-2016,796.3,799,806,792,2.27M,-0.73%
12-05-2016,803.55,795.1,805.7,795.1,1.96M,0.91%
13-05-2016,795.05,805.35,805.35,792.5,2.45M,-1.06%
16-05-2016,797.85,799.9,802,791.7,2.04M,0.35%
17-05-2016,799.9,801,802.6,796.5,2.51M,0.26%
18-05-2016,795.3,798.95,799.05,791,2.24M,-0.58%
19-05-2016,792.5,797,797.7,790,3.11M,-0.35%
20-05-2016,791.35,797.9,797.9,790,2.46M,-0.15%
23-05-2016,784.55,793,793.7,779.3,2.40M,-0.86%
24-05-2016,772.3,786,787,771,2.25M,-1.56%
25-05-2016,785.45,778.3,789.9,771.2,1.56M,1.70%
26-05-2016,779.35,781.1,788,774.05,1.90M,-0.78%
27-05-2016,824.95,795,828,790.1,3.68M,5.85%
30-05-2016,812.1,831,842,808.25,4.89M,-1.56%
31-05-2016,762.75,792,799,756,15.71M,-6.08%
01-06-2016,754.55,767.05,771.4,752.45,4.92M,-1.08%
02-06-2016,746.75,755.1,758.5,744.55,4.90M,-1.03%
03-06-2016,737.35,751.9,751.9,735.05,5.94M,-1.26%
06-06-2016,724.4,748.9,750,721.85,6.33M,-1.76%
07-06-2016,738.8,728,741.9,710.15,7.37M,1.99%
08-06-2016,738,744,744.95,734.4,3.38M,-0.11%
09-06-2016,742.7,738,745.25,731.5,3.95M,0.64%
10-06-2016,741.4,745.85,747,738.4,2.79M,-0.18%
13-06-2016,746.45,738.5,748,733.15,2.92M,0.68%
14-06-2016,753.7,748,755,746.55,2.79M,0.97%
15-06-2016,751.6,756.9,758.35,750,1.42M,-0.28%
16-06-2016,754.6,752,756.35,742.7,2.72M,0.40%
17-06-2016,743.2,756.5,758.15,740.1,3.32M,-1.51%
20-06-2016,739.85,739.85,746.1,733.85,3.32M,-0.45%
21-06-2016,736.3,741.1,745.2,735.2,3.70M,-0.48%
22-06-2016,740.05,739.95,741.4,731.4,3.72M,0.51%
23-06-2016,752.6,743.95,757.8,743,3.91M,1.70%
24-06-2016,754.75,747.7,765,734,7.64M,0.29%
27-06-2016,773.75,757,775.6,753.3,4.49M,2.52%
28-06-2016,765.1,774,779.35,763.55,2.79M,-1.12%
29-06-2016,770.3,770.7,774.45,767.6,2.46M,0.68%
30-06-2016,763.1,775,776.9,761,4.54M,-0.93%
01-07-2016,763.35,769,769.45,762.05,2.66M,0.03%
04-07-2016,770.8,768.25,774.8,766.15,1.58M,0.98%
05-07-2016,774.5,772.95,778,764.25,2.75M,0.48%
07-07-2016,778.2,778,782.95,775,2.52M,0.48%
08-07-2016,777.5,781.95,785,774.45,2.17M,-0.09%
11-07-2016,789,789,793.9,781.5,4.77M,1.48%
12-07-2016,783.05,792.8,793,778.15,3.40M,-0.75%
13-07-2016,778.55,786.85,794.85,775,3.55M,-0.57%
14-07-2016,768.55,774.65,774.65,766.85,4.15M,-1.28%
15-07-2016,770.4,772,774.8,764.1,5.46M,0.24%
18-07-2016,776.7,774.3,781,770.9,3.10M,0.82%
19-07-2016,782.4,780,787,777.6,3.03M,0.73%
20-07-2016,797.25,785.4,798.3,781.55,4.59M,1.90%
21-07-2016,794.2,800,806,791,3.45M,-0.38%
22-07-2016,786.6,796,796,782,2.55M,-0.96%
25-07-2016,804,788,805,787,3.84M,2.21%
26-07-2016,798.4,807,808,795.1,2.83M,-0.70%
27-07-2016,807.9,797.05,810,791.25,2.45M,1.19%
28-07-2016,825.45,810.4,828,809.5,3.98M,2.17%
29-07-2016,829.95,825,839.8,820.55,3.06M,0.55%
01-08-2016,835.65,837.9,840,822.7,2.05M,0.69%
02-08-2016,828.9,839,847.5,826.85,2.14M,-0.81%
03-08-2016,839.6,832.7,847.35,821.3,2.11M,1.29%
04-08-2016,848.55,842,854.95,840.1,2.61M,1.07%
05-08-2016,841.9,852.9,854.45,837.05,1.91M,-0.78%
08-08-2016,832.8,842.05,844.85,830.4,3.38M,-1.08%
09-08-2016,829.35,834,835.2,822.6,1.90M,-0.41%
10-08-2016,817.65,831.7,833,815.05,1.32M,-1.41%
11-08-2016,808.25,814.3,818.8,785.2,6.66M,-1.15%
12-08-2016,800.55,816.8,825.9,790.55,8.73M,-0.95%
16-08-2016,782.7,808.35,808.35,781.2,5.12M,-2.23%
17-08-2016,785,778.75,790.8,772.8,3.55M,0.29%
18-08-2016,788.8,790,794.4,785.5,1.59M,0.48%
19-08-2016,783.8,792.75,793.5,779.6,3.22M,-0.63%
22-08-2016,770.1,784.25,785,765,5.50M,-1.75%
23-08-2016,762.35,770.7,770.7,760,3.76M,-1.01%
24-08-2016,769.7,765,775.35,763.55,3.81M,0.96%
25-08-2016,764.95,773.95,777.3,762.05,2.29M,-0.62%
26-08-2016,755.25,766.25,768.65,752.75,1.98M,-1.27%
29-08-2016,759.3,757.9,762.4,746.6,2.36M,0.54%
30-08-2016,774.85,763.8,777,760.95,1.73M,2.05%
31-08-2016,775.65,778,782,771.3,3.41M,0.10%
01-09-2016,770.05,775.6,778.9,767.25,1.18M,-0.72%
02-09-2016,782.35,774,784.3,768,1.87M,1.60%
06-09-2016,782.65,786,789,778.3,1.56M,0.04%
07-09-2016,779.25,783,784.55,776.55,1.35M,-0.43%
08-09-2016,808.05,780,809.75,777.3,3.66M,3.70%
09-09-2016,797.45,811,818.5,794.1,4.00M,-1.31%
12-09-2016,787.05,789,795.9,779.1,2.62M,-1.30%
14-09-2016,779.85,795,796.2,774.4,3.86M,-0.91%
15-09-2016,786.35,784,792.6,782.15,1.48M,0.83%
16-09-2016,783.8,790.05,794,781.25,2.30M,-0.32%
19-09-2016,782.5,784.55,789.7,780.55,1.28M,-0.17%
20-09-2016,778.75,785,786.6,777,2.08M,-0.48%
21-09-2016,778.85,782,784.5,776.35,1.57M,0.01%
22-09-2016,786.75,786.05,788.85,783.3,1.73M,1.01%
23-09-2016,780.05,790.1,790.75,778,1.77M,-0.85%
26-09-2016,766.15,781,784.25,764.6,2.31M,-1.78%
27-09-2016,770.15,766.5,776.9,766.15,1.56M,0.52%
28-09-2016,764.8,766.2,773.75,763.4,2.34M,-0.69%
29-09-2016,735.85,769,770,732,5.32M,-3.79%
30-09-2016,742.7,739.95,745,735.1,2.05M,0.93%
03-10-2016,757.05,750,761,750,1.86M,1.93%
04-10-2016,764.3,762,773,759.25,2.56M,0.96%
05-10-2016,759.45,768.5,768.5,757.3,1.85M,-0.63%
06-10-2016,752.9,765,766.55,750.1,1.76M,-0.86%
07-10-2016,751.2,756,756.2,748.8,1.55M,-0.23%
10-10-2016,755.45,752.95,758,750,1.37M,0.57%
13-10-2016,739.7,749.2,753.9,735.1,3.00M,-2.08%
14-10-2016,745.5,740.9,747,737.4,1.85M,0.78%
17-10-2016,733.95,747.3,747.4,732,1.51M,-1.55%
18-10-2016,743.5,735.95,745.3,735.5,1.90M,1.30%
19-10-2016,750.25,748.4,759,747.05,2.27M,0.91%
20-10-2016,745.5,754.75,755.9,742.95,1.36M,-0.63%
21-10-2016,747.75,747,749,740.55,1.81M,0.30%
24-10-2016,747.15,749.9,753.7,745.25,1.01M,-0.08%
25-10-2016,747.4,749.1,759,746.25,1.92M,0.03%
26-10-2016,738.7,749,749,736.1,1.21M,-1.16%
27-10-2016,746.9,742,750.7,737.2,2.69M,1.11%
28-10-2016,743.4,747,752,741.95,1.90M,-0.47%
30-10-2016,748.1,749,750,747,276.37K,0.63%
01-11-2016,733.75,749,749,732.1,2.57M,-1.92%
02-11-2016,714.05,732.8,732.8,713.1,3.29M,-2.68%
03-11-2016,703.65,714,717,700.4,4.37M,-1.46%
04-11-2016,651.5,679.9,679.9,647.1,17.91M,-7.41%
07-11-2016,654.9,676,677,653,6.66M,0.52%
08-11-2016,635.4,660,663.05,632.3,9.90M,-2.98%
09-11-2016,660.75,600,669.15,571.9,14.96M,3.99%
10-11-2016,666.2,680,693.6,664.1,9.36M,0.82%
11-11-2016,688,690,708,680,13.18M,3.27%
15-11-2016,682.45,697.95,705.55,674.65,5.82M,-0.81%
16-11-2016,667.4,691,694.75,660,4.72M,-2.21%
17-11-2016,669.25,668.75,681.35,660,3.76M,0.28%
18-11-2016,688.85,671.5,692.5,662.05,6.15M,2.93%
21-11-2016,690.35,692,697.1,676.05,5.09M,0.22%
22-11-2016,689.9,699,699.4,685,3.36M,-0.07%
23-11-2016,701.3,696,704.9,691.05,4.50M,1.65%
24-11-2016,682.5,699.5,699.5,680,3.78M,-2.68%
25-11-2016,714.15,689.5,717,685.1,4.41M,4.64%
28-11-2016,715.15,713.65,720.2,710.05,2.61M,0.14%
29-11-2016,706.5,719.9,721.5,702,3.67M,-1.21%
30-11-2016,709.8,710.9,719.5,706.3,4.36M,0.47%
01-12-2016,721.5,709.8,724.5,707,2.80M,1.65%
02-12-2016,720.35,719.3,730.95,716.1,3.16M,-0.16%
05-12-2016,713.1,722,725,710.35,2.95M,-1.01%
06-12-2016,706.15,716.55,721.7,704.15,2.94M,-0.97%
07-12-2016,664,700,700,660,12.92M,-5.97%
08-12-2016,675.7,664,679.6,658.85,6.87M,1.76%
09-12-2016,673,678,682.8,671.25,3.30M,-0.40%
12-12-2016,676.4,673.2,681.9,670,2.16M,0.51%
13-12-2016,684.35,676,685.7,666.55,4.51M,1.18%
14-12-2016,678.4,685.95,692.65,675,3.20M,-0.87%
15-12-2016,649.95,672.8,673.6,645,9.54M,-4.19%
16-12-2016,647.35,650.85,651.9,633.6,10.78M,-0.40%
19-12-2016,632.25,644,644,630.1,4.21M,-2.33%
20-12-2016,627.9,635,638,622.1,3.98M,-0.69%
21-12-2016,614.45,632,633.9,613.05,7.40M,-2.14%
22-12-2016,609.15,616.25,625,608,5.48M,-0.86%
23-12-2016,623.5,614,629.5,611.2,6.11M,2.36%
26-12-2016,611.25,624.55,624.9,610,3.01M,-1.96%
27-12-2016,621.1,614,622.2,612.6,2.29M,1.61%
28-12-2016,621.35,624,628.65,619.05,2.52M,0.04%
29-12-2016,614.7,621.5,624.95,611.85,4.79M,-1.07%
30-12-2016,630,619,632,616.65,3.52M,2.49%
02-01-2017,634.05,633,640.35,627,2.27M,0.64%
03-01-2017,636.1,637,641.95,631.85,2.82M,0.32%
04-01-2017,637.35,638,643.8,634.8,2.50M,0.20%
05-01-2017,643.45,646.1,647.9,641.5,2.59M,0.96%
06-01-2017,640.75,648.1,649.75,639.45,1.86M,-0.42%
09-01-2017,632.05,641.1,646.9,631,1.83M,-1.36%
10-01-2017,638.55,635,639.9,627.1,2.56M,1.03%
11-01-2017,648.2,640,649.55,639.3,2.78M,1.51%
12-01-2017,644.75,629,646.9,629,6.27M,-0.53%
13-01-2017,653,647,657.4,642.45,3.52M,1.28%
16-01-2017,643.5,651,654.9,642.2,1.35M,-1.45%
17-01-2017,649.7,645,652.7,644.45,3.02M,0.96%
18-01-2017,649.95,649,654,644.5,4.01M,0.04%
19-01-2017,643.45,647,653.7,641.1,2.09M,-1.00%
20-01-2017,641.55,642.85,647.4,640,3.67M,-0.30%
23-01-2017,633.65,640,645.25,632.5,2.96M,-1.23%
24-01-2017,641.4,636,644.5,636,2.19M,1.22%
25-01-2017,635.85,644,646.7,634.2,3.07M,-0.87%
27-01-2017,640.5,638.3,643,633.8,2.36M,0.73%
30-01-2017,644.75,640.05,654.9,639,2.41M,0.66%
31-01-2017,631.5,644.5,649,630,1.93M,-2.06%
01-02-2017,625.55,631,637.45,618.4,3.51M,-0.94%
02-02-2017,641.4,626.2,644.7,620,3.82M,2.53%
03-02-2017,647.25,644.5,649.8,640.25,2.05M,0.91%
06-02-2017,675.15,650,677.3,645,5.84M,4.31%
07-02-2017,669.6,675,689.55,667.2,4.27M,-0.82%
08-02-2017,662.2,668.65,677,659.2,2.96M,-1.11%
09-02-2017,655.5,665,669,653.35,3.30M,-1.01%
10-02-2017,655.05,655.5,662.1,650.1,2.81M,-0.07%
13-02-2017,654.7,656.5,659.45,648,1.89M,-0.05%
14-02-2017,649.3,659,662.85,640.9,3.39M,-0.82%
15-02-2017,623.05,650.2,651.75,621.5,10.35M,-4.04%
16-02-2017,649.3,624,652,623.45,6.16M,4.21%
17-02-2017,675.5,653.5,677.95,649.1,6.17M,4.04%
20-02-2017,679.65,678,686.4,672.5,4.60M,0.61%
21-02-2017,673.2,681.7,685,670.1,2.97M,-0.95%
22-02-2017,670.35,674,675.4,662.75,2.66M,-0.42%
23-02-2017,674.55,673.9,681.3,667.05,4.52M,0.63%
27-02-2017,674.45,674.1,685.5,671.1,3.48M,-0.01%
28-02-2017,679,675,682.3,675,2.71M,0.67%
01-03-2017,694.65,681.1,697.4,679,4.97M,2.30%
02-03-2017,676.15,700,701.3,672.9,4.78M,-2.66%
03-03-2017,686.45,672,688.45,671.1,2.50M,1.52%
06-03-2017,683,684,684.5,675.1,2.86M,-0.50%
07-03-2017,679.65,683.6,684.85,675.25,2.15M,-0.49%
08-03-2017,680.4,675,688.85,673,3.48M,0.11%
09-03-2017,685.15,680.35,686,676.1,2.41M,0.70%
10-03-2017,682.95,680.05,691.1,680,1.99M,-0.32%
14-03-2017,708.2,693.5,729.05,677.1,9.86M,3.70%
15-03-2017,705.85,713,717.45,704.25,3.05M,-0.33%
16-03-2017,710.8,711,719.5,707.1,3.09M,0.70%
17-03-2017,707.5,715,716.4,702,3.07M,-0.46%
20-03-2017,706.55,709,711,704.5,1.42M,-0.13%
21-03-2017,698.05,704,705.9,684.15,3.69M,-1.20%
22-03-2017,701.45,694,703,690.85,2.41M,0.49%
23-03-2017,703.15,704,705,699.25,1.29M,0.24%
24-03-2017,703.9,703.5,709.65,700.2,1.36M,0.11%
27-03-2017,691.2,701,703.35,689.5,1.86M,-1.80%
28-03-2017,698.6,694.8,702.55,693.7,1.63M,1.07%
29-03-2017,687.65,701,701.4,685,5.15M,-1.57%
30-03-2017,687.05,689.8,694.05,685.2,2.56M,-0.09%
31-03-2017,688.15,685.2,694.05,684.6,2.90M,0.16%
03-04-2017,692.4,688.75,693.8,685.1,1.35M,0.62%
05-04-2017,690.7,694.5,696.7,686.5,1.98M,-0.25%
06-04-2017,686.9,692.95,692.95,683.15,2.02M,-0.55%
07-04-2017,665.95,684.9,684.9,662.2,6.08M,-3.05%
10-04-2017,667.75,667,669.9,661.2,2.14M,0.27%
11-04-2017,670.4,668.05,673,666.1,1.34M,0.40%
12-04-2017,683.25,672.75,689.5,663.4,2.65M,1.92%
13-04-2017,692.75,688.5,699.85,681.5,2.92M,1.39%
17-04-2017,677.05,682,683,670.3,2.41M,-2.27%
18-04-2017,665.15,677.95,679.5,663.95,1.73M,-1.76%
19-04-2017,663.35,668.95,676,661.4,2.24M,-0.27%
20-04-2017,655.95,666,667.7,655.05,2.07M,-1.12%
21-04-2017,639.6,659.45,659.45,636.6,6.09M,-2.49%
24-04-2017,642.85,635,645.25,632.05,4.43M,0.51%
25-04-2017,642.55,645.25,649,639.9,1.83M,-0.05%
26-04-2017,642.8,643,646.5,635.1,1.92M,0.04%
27-04-2017,637,645,646,632.75,2.43M,-0.90%
28-04-2017,641.95,637.25,644.2,637.25,1.90M,0.78%
02-05-2017,632.8,642.4,644.25,627.5,2.42M,-1.43%
03-05-2017,628.85,631,635.45,624,3.81M,-0.62%
04-05-2017,631.5,628,637.2,623.6,3.15M,0.42%
05-05-2017,630.2,630,638,626,2.54M,-0.21%
08-05-2017,637.15,630.95,639.8,626.7,1.54M,1.10%
09-05-2017,640.3,638,642.3,630.45,1.59M,0.49%
10-05-2017,642.8,642.05,646.6,637.35,1.38M,0.39%
11-05-2017,648.45,644.85,649.9,640.15,1.67M,0.88%
12-05-2017,655.1,650,656.7,643.85,1.99M,1.03%
15-05-2017,654.45,655.4,656.85,649.5,1.22M,-0.10%
16-05-2017,652.35,655,656.55,648,2.33M,-0.32%
17-05-2017,650.9,652.1,653,644.1,1.92M,-0.22%
18-05-2017,653.95,648.7,655.25,643.45,2.15M,0.47%
19-05-2017,653.15,655.5,656.95,646.7,2.22M,-0.12%
22-05-2017,640.15,654,654,636.3,3.16M,-1.99%
23-05-2017,614.1,628,630.85,589.1,11.62M,-4.07%
24-05-2017,603.5,615.95,616.3,599.5,3.75M,-1.73%
25-05-2017,591.55,609.05,609.3,582.35,7.24M,-1.98%
26-05-2017,567.65,590.6,597.85,564,10.81M,-4.04%
29-05-2017,502.6,529,529,492.65,42.14M,-11.46%
30-05-2017,508,502,510.55,502,10.94M,1.07%
31-05-2017,501.6,512,512.05,499.75,14.79M,-1.26%
01-06-2017,507.45,502.1,523.95,502.1,14.17M,1.17%
02-06-2017,514.85,515,517.95,508,7.72M,1.46%
05-06-2017,512.8,520,522,511.65,5.26M,-0.40%
06-06-2017,504.3,516,516.35,503,4.81M,-1.66%
07-06-2017,511.55,508.9,515.75,504.8,4.22M,1.44%
08-06-2017,528.85,514,534.6,511.6,10.62M,3.38%
09-06-2017,524.7,530,533.85,521.7,4.64M,-0.78%
12-06-2017,532.55,525,540.9,521.9,7.63M,1.50%
13-06-2017,537.2,551.15,552,536.2,9.58M,0.87%
14-06-2017,539.55,540,541,532.6,3.18M,0.44%
15-06-2017,544,540.75,549.35,536.85,4.18M,0.82%
16-06-2017,529.15,547.9,547.95,526,4.99M,-2.73%
19-06-2017,524.85,533,533.95,521.55,4.12M,-0.81%
20-06-2017,523.8,526.1,533.8,519.75,4.46M,-0.20%
21-06-2017,528,528,535,523.2,4.26M,0.80%
22-06-2017,538.7,529.5,539.95,529,5.20M,2.03%
23-06-2017,543.8,538,545.5,537,3.92M,0.95%
27-06-2017,544.05,547,549.4,537.25,4.68M,0.05%
28-06-2017,545.45,543.8,548.15,538,5.28M,0.26%
29-06-2017,536.9,546,546.5,534.1,6.06M,-1.57%
30-06-2017,555.7,538.8,560.95,538,6.56M,3.50%
03-07-2017,552,556,558.2,548.75,1.58M,-0.67%
04-07-2017,552.45,556,556.7,545.7,1.98M,0.08%
05-07-2017,550.65,552.55,560.6,548.75,3.12M,-0.33%
06-07-2017,545.6,550.85,552.5,543.45,4.16M,-0.92%
07-07-2017,549,546,552.25,545,4.48M,0.62%
